"expid","peakid","year","season","host","route1","route2","route3","route4","nation","leaders","sponsor","success1","success2","success3","success4","ascent1","ascent2","ascent3","ascent4","claimed","disputed","countries","approach","bcdate","smtdate","smttime","smtdays","totdays","termdate","termreason","termnote","highpoint","traverse","ski","parapente","camps","rope","totmembers","smtmembers","mdeaths","tothired","smthired","hdeaths","nohired","o2used","o2none","o2climb","o2descent","o2sleep","o2medical","o2taken","o2unkwn","othersmts","campsites","accidents","achievment","agency","comrte","stdrte","primrte","primmem","primref","primid"
"ANN361101","ANN3","1961","1","1","N Face","","","","India","M. S. Kohli","","true","false","false","false","1st","","","","false","false","","Marshyangdi River->Manang","4/4/61","5/6/61","","32","39","5/13/61","1","","7555","false","false","false","5","0","7","2","0","12","1","0","false","false","true","false","false","false","false","false","false","","""BC(04/04),C1(15/04,4700m),C2(16/04,5300m),C3.ABC(19/04,5730m),C4(22/04,6340m),C5A(25/04,6645m),C5B(05/05,6800m),Smt(06/05)""","","","","false","false","false","false","false",""
"APIM60101","APIM","1960","1","1","NW Face/Ridge","","","","Japan","Yasusuke Tsuda","Doshisha University Himalayan Expedition","true","false","false","false","""1st,2nd""","","","","false","false","","Pithoragarh->Jhulagat->Garbyang","4/21/60","5/10/60","1150","19","26","5/17/60","1","","7132","false","false","false","4","0","5","3","0","7","1","0","false","false","true","false","false","false","false","false","false","","""BC(21/04,4000m),C1(28/04,4650m),C2(02/05,5600m),C3(05/05,6200m),C4(09/05,6600m),Smt(10-11/05)""","","","","false","false","false","false","false",""
"CHAM62101","CHAM","1962","1","1","S Ridge","","","","Japan","Seiki Nakano","Hokkaido University Mount Chamlang Expedition","true","false","false","false","1st","","","","false","false","","Dharan->Tumlingtar->Hongku Khola","5/3/62","5/31/62","1400","28","37","6/9/62","1","","7321","false","false","false","4","1000","7","1","0","5","1","0","false","false","true","false","false","false","false","false","false","","""BC(03/05,4200m),C1(14/05,5200m),C2(17/05,5700m),C3(20/05,6300m),C4(26/05,6650m),Biv(30/05,6850m),Smt(31/05)""","","","","false","false","false","false","false",""
"CHOB60301","CHOB","1960","3","1","","","","","France","Robert Sandoz","","false","false","false","false","","","","","false","false","","","10/6/60","","","0","26","11/1/60","12","Did not attempt climb due to danger from falling ice","0","false","false","false","0","0","6","0","0","0","0","0","true","false","true","false","false","false","false","false","false","""Climbed Parchamo (PARC-603-01), Pimu (PIMU-603-01), Linkhu Chuli II (LIK2-603-01) and Singkar""","""BC(06/10,4400m)""","","","","false","false","false","true","true","LIK260301"
"CHUR62101","CHUR","1962","1","1","N side","","","","Japan","Shijiro Ishizaka","Nihon University","false","false","false","false","","","","","false","false","","Mukut La->Mukutgaon->Kakotgaon->Kaya Khola","6/3/62","","","0","7","6/10/62","9","Abandoned at 5750m to due approaching monsoon and lack of time","5750","false","false","false","0","0","4","0","0","5","0","0","false","false","true","false","false","false","false","false","false","""Climbed Hongde (HONG-621-01), Dhampus (DHAM-621-01), Tongu (TONG-621-01) and Kangtokla (KTOK-621-01); recon Dhaulagiri II""","""BC(03/06,4700m),ABC(5050m),xxx(5750m)""","","","","false","false","false","true","true","HONG62101"
"TAPL63101","TAPL","1963","1","1","W Ridge","S Face","","","Japan","Ken Miyazawa","Tokyo Agricultural University","false","false","false","false","","","","","false","false","","","4/28/63","6/1/63","","34","0","  -   -","10","","6400","false","false","false","2","0","6","0","0","5","0","0","false","false","true","false","false","false","false","false","false","Attempted Gimmigela Chuli (GIMM-631-01); climbed Tsisima (TSIS-631-01) and Tsisima S Peak (both 1st ascents)","""BC(28/04,5100m),C1(5200m),C2(5600m),xxx(01/06,6400m)""","","","","false","false","false","true","true","GIMM63101"
"DHA160101","DHA1","1960","1","1","NE Ridge","","","","Switzerland","Max Eiselin","","true","false","false","false","""1st,2nd""","","","","false","false","""Austria, Poland, USA, W Germany""","By air->Dhampus Col & NE Col","3/28/60","5/13/60","1200","46","63","5/30/60","1","","8167","false","false","false","6","0","13","6","0","7","2","0","false","false","true","false","false","false","false","true","false","Climbed Dhampus (DHAM-601-01) and Little Tukuche Peak (both 1st ascents)","""NEColBC(28/03,4700m),C1(5100m),C2(03/04,5750m),C3(15/04,6590m),C4(29/04,7050m),C5(03/05,7400m),C6(12/05,7800m),Smt(13,23/05)""","","","","false","true","false","false","false",""
"DHA262301","DHA2","1962","3","1","E Ridge from N","","","","S Korea","Park Chul-Am","","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","14","Termination reason unknown","7750","false","false","false","0","0","0","0","0","0","0","0","false","false","true","false","false","false","false","false","false","","xxx(7750m)","","","","false","false","false","false","false",""
"DHA263101","DHA2","1963","1","1","E Ridge from N","","","","Austria","Egbert Eidher","Austrian Himalayan Association","false","false","false","false","","","","","false","false","","","4/19/63","5/19/63","","30","33","5/22/63","4","Abandoned at 7000m due to bad weather from approaching monsoon","7000","false","false","false","5","0","8","0","0","2","0","0","false","false","true","false","false","false","false","false","false","Attempted Dhaulagiri III (DHA3-631-01)","""BC(19/04),C1(5000m),C2.ABC(5300m),C3(5900m),C4(6200m),C5(18/05,6500m),xxx(19/05,7000m)""","","","","false","false","false","false","false",""
"DHA363101","DHA3","1963","1","1","N side","","","","Austria","Egbert Eidher","","false","false","false","false","","","","","false","false","","","4/19/63","5/18/63","","29","33","5/22/63","4","","6500","false","false","false","5","0","8","0","0","2","0","0","false","false","true","false","false","false","false","false","false","Attempted Dhaulagiri II (DHA2-631-01)","""BC(19/04),C1(5000m),C2.ABC(5300m),C3(5900m),C4(6200m),C5(18/05,6500m),xxx""","","","","false","false","false","true","true","DHA263101"
